"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1684","MCNEES WALLACE & NURICK","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",4300
"1700","BANK OF NEW YORK MELLON","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",40.5555555555556,59.4444444444444,"#330000AF","#330000AF",9000
"1702","MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",7.8125,92.1875,"#DB0000AF","#DB0000AF",6400
"17038179","HOLSTON & ASSOCIATES","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1100
"1718","MICHAEL BAKER CORP","Construction Services","Construction","Engineering, architecture & construction management services",65.9340659340659,34.0659340659341,"#00004DAF","#00004DAF",9100
"1748671","BLUE CROSS BLUE SHIELD OF PENNSYLVANIA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",58.0769230769231,41.9230769230769,"#000029AF","#000029AF",52000
"1750389","T C","General Contractors","Construction","Public works, industrial & commercial construction",83.3333333333333,16.6666666666667,"#0000A8AF","#0000A8AF",7200
"17575239","WESTERN PENNSYLVANIA REGIONAL DISTRICT COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",82.6086956521739,17.3913043478261,"#0000A3AF","#0000A3AF",3450
"1830","NATIONAL CITY CORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",50.9554140127389,49.0445859872611,"#000000AF","#000000AF",7850
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",47.8260869565217,52.1739130434783,"#0F0000AF","#0F0000AF",2300
"18597","ASSOCIATED BUILDERS & CONTRACTORS KEYSTONE CHAPTER","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",41600
"1864","NATIONWIDE MUTUAL INSURANCE CO","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",14.4329896907216,85.5670103092783,"#B80000AF","#B80000AF",19400
"18669","PENNSYLVANIA TELEPHONE ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",4.3010752688172,95.6989247311828,"#EB0000AF","#EB0000AF",4650
"18734","CLEAR CHANNEL COMMUNICATIONS","TV & Movie Production/Distribution","Communications & Electronics","Commercial television & radio stations",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
"1876067","WORLDCOM","Telecom Services & Equipment","Communications & Electronics","Telecommunications",100,0,"#0000FFAF","#0000FFAF",550
"18801","PENNSYLVANIA COALITION OF NURSE PRACTITIONERS","Health Professionals","Health","Nurses",37.2549019607843,62.7450980392157,"#420000AF","#420000AF",1275
"18802","PENNSYLVANIA PHARMACISTS ASSOCIATION","Health Professionals","Health","Pharmacists",20.8333333333333,79.1666666666667,"#990000AF","#990000AF",3600
"18874","HOSPITAL & HEALTH SYSTEM ASSOCIATION OF PENNSYLVANIA","Hospitals & Nursing Homes","Health","Hospitals",25.8217095419663,74.1782904580337,"#800000AF","#800000AF",41438
"18898","PENNSYLVANIA HEALTH CARE ASSOCIATION / CENTER FOR ASSISTED LIVING MANAGEMENT","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",1600
"18928","PENNSYLVANIA DENTAL HYGENISTS ASSOCIATION","Health Professionals","Health","Dentists",45.3125,54.6875,"#1A0000AF","#1A0000AF",1600
"18948","PENNSYLVANIA CHAPTER NATIONAL ASSOCIATION OF SOCIAL WORKERS","Welfare/Social Work","Government Agencies/Education/Other","Welfare & social work",85.7142857142857,14.2857142857143,"#0000B3AF","#0000B3AF",3500
"1898","MISSISSIPPI RAILROAD ASSOCIATION NORFOLK SOUTHERN","Railroads","Energy & Natural Resources","Railroads",0,100,"#FF0000AF","#FF0000AF",3350
"19114","AFSCME COUNCIL 13","Public Sector Unions","Labor","State & local government employee unions",97.0074492679168,2.99255073208323,"#0000F0AF","#0000F0AF",194650
"19125","AFSCME DISTRICT COUNCIL 47","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",850
